Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
occupiedHeatSpOffset,occupiedHeatSpOffset,Occupied Heat Setpoint Offset,Occupied Heat Setpoint Offset,occupiedHeatSpOffset,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"zone,air,temp,occupied,heat,offset,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UV,VAV,ZD,FCU,HP"
occupiedHumidSp,occupiedHumidSp,Occupied Humidification Setpoint,Occupied Humidification Setpoint,occupiedHumidSp,Number,,,percent_relative_humidity,percent_relative_humidity,1,1,,,"zone,air,humid,occupied,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,FCU,FPB,HP,MAU,RP,RPC,RPF,RTU,UH,UV,VAV,ZD,FCU,HP"
occupiedIntakeCoolSp,,Occupied Intake Cool Setpoint,,,Number,,,fahrenheit,celsius,1,1,,,,
occupiedIntakeDewpointSp,,Occupied Intake Dewpoint Setpoint,,,Number,,,fahrenheit,celsius,1,1,,,,
occupiedIntakeHeatSp,,Occupied Intake Heat Sp,,,Number,,,fahrenheit,celsius,1,1,,,,
occupiedLevelSp,occupiedLevelSp,Occupied Light Level Setpoint,Occupied Light Level Setpoint,occupiedLevelSp,Number,,,footcandle,lux,0,0,,,"occupied,lightLevel,effective,sp","LTGE,LTGI"
occupiedTempDb,occupiedTempDb,Occupied Temperature Deadband,Occupied Temperature Deadband,occupiedTempDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"zone,air,temp,occupied,deadband,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,EF,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UH,UV,VAV,VRF,ZD,FCU,HP"
occupiedTempSp,occupiedTempSp,Occupied Temperature Setpoint,Occupied Temperature Setpoint,occupiedTempSp,Number,,,fahrenheit,celsius,1,1,,,"zone,air,temp,occupied,effective,sp","AHU,ATU,CRAC,CRAH,CUH,DH,DHU,DOAS,EC,EF,FCU,FPB,HP,HVHS,HVLS,MAU,RP,RPC,RPF,RTU,UH,UV,VAV,VRF,ZD,FCU,HP"
oilFeedPressure,oilFeedPressure,Oil Feed Pressure,Oil Feed Pressure,oilFeedPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"oil,feed,pressure,sensor",GEN
oilFeedPressureHiAlarm,oilFeedPressureHiAlarm,Oil Feed Pressure High Alarm,Oil Feed Pressure High Alarm,oilFeedPressureHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"oil,feed,pressure,high,alarm",GEN
oilFeedPressureLoAlarm,oilFeedPressureLoAlarm,Oil Feed Pressure Low Alarm,Oil Feed Pressure Low Alarm,oilFeedPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"oil,feed,pressure,low,alarm",GEN
oilFeedTemp,oilFeedTemp,Oil Feed Temperature,Oil Feed Temperature,oilFeedTemp,Number,,,fahrenheit,celsius,1,1,,,"oil,feed,temp,sensor",GEN
oilFeedTempHiAlarm,,Oil Feed Temp Hi Alarm,,,Bool,Alarm/Normal,,,,,,,,,
oilSumpLevelHiAlarm,oilSumpLevelHiAlarm,Oil Sump Level High Alarm,Oil Sump Level High Alarm,oilSumpLevelHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"oil,sump,level,high,alarm",GEN
oilSumpLevelLoAlarm,oilSumpLevelLoAlarm,Oil Sump Level Low Alarm,Oil Sump Level Low Alarm,oilSumpLevelLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"oil,sump,level,low,alarm",GEN
oilSumpPressure,oilSumpPressure,Oil Sump Pressure,Oil Sump Pressure,oilSumpPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"oil,sump,pressure,sensor",GEN
oilSumpPressureLoAlarm,oilSumpPressureLoAlarm,Oil Sump Pressure Low Alarm,Oil Sump Pressure Low Alarm,oilSumpPressureLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"oil,sump,pressure,low,alarm",GEN
oilSumpTemp,oilSumpTemp,Oil Sump Temperature,Oil Sump Temperature,oilSumpTemp,Number,,,fahrenheit,celsius,1,1,,,"oil,sump,temp,sensor",GEN
oilThicknessAlarm,oilThicknessAlarm,Oil Thickness Alarm,Oil Thickness Alarm,oilThicknessAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"oil,thickness,alarm","GINT,PINT"
optimalStartEnable,optimalStartEnable,Optimal Start Enable,Optimal Start Enable,optimalStartEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,,
optimalStartMode,optimalStartMode,Optimal Start Mode,Optimal Start Mode,optimalStartMode,Bool,On/Off,On/Off,,,,,,,"optimal,start,mode,cmd","AHU,ATU,CRAC,CRAH,CUH,CWS,DH,DHU,DOAS,EC,EF,FCU,FPB,GEO,HP,HWS,MAU,RTU,SMS,UV,VAV,FCU,HP"
optimalStartTimeSp,optimalStartTimeSp,Optimal Start Time Sp,Optimal Start Time Sp,optimalStartTimeSp,Number,,,minute,minute,0,0,,,,
optimalStopEnable,optimalStopEnable,Optimal Stop Enable,Optimal Stop Enable,optimalStopEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,,
optimalStopMode,optimalStopMode,Optimal Stop Mode,Optimal Stop Mode,optimalStopMode,Bool,On/Off,On/Off,,,,,,,"optimal,stop,mode,cmd","AHU,ATU,CRAC,CRAH,CUH,CWS,DH,DHU,DOAS,EC,EF,FCU,FPB,GEO,HP,HWS,MAU,RTU,SMS,UV,VAV,FCU,HP"
outCurrent,outXXXXCurrent,Output Current (Average),Output XX Current (Average),"out(\d{0,4})Current",Number,,,ampere,ampere,1,1,,,"output,current,avg,calc","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outCurrentPhaseA,outXXXXCurrentPhaseA,Output Current (Phase A),Output XX Current (Phase A),"out(\d{0,4})CurrentPhaseA",Number,,,ampere,ampere,1,1,,A,"output,current,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outCurrentPhaseB,outXXXXCurrentPhaseB,Output Current (Phase B),Output XX Current (Phase B),"out(\d{0,4})CurrentPhaseB",Number,,,ampere,ampere,1,1,,B,"output,current,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outCurrentPhaseC,outXXXXCurrentPhaseC,Output Current (Phase C),Output XX Current (Phase C),"out(\d{0,4})CurrentPhaseC",Number,,,ampere,ampere,1,1,,C,"output,current,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outCurrentPhaseN,outXXXXCurrentPhaseN,Output Current (Phase N),Output XX Current (Phase N),"out(\d{0,4})CurrentPhaseN",Number,,,ampere,ampere,1,1,,N,"output,current,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outEnergy,outXXXXEnergy,Output Energy,Output XX Energy,"out(\d{0,4})Energy",Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"output,common,energy,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outEnergyApparent,outXXXXEnergyApparent,Output Apparent Energy,Output XX Apparent Energy,"out(\d{0,4})EnergyApparent",Number,,,kilovolt_ampere_hour,kilovolt_ampere_hour,0,0,,,"output,apparent,energy,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outEnergyReactive,outXXXXEnergyReactive,Output Reactive Energy,Output XX Reactive Energy,"out(\d{0,4})EnergyReactive",Number,,,kilovolt_ampere_reactive_hour,kilovolt_ampere_reactive_hour,0,0,,,"output,reactive,energy,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outFrequency,outXXXXFrequency,Output Frequency,Output XX Frequency,"out(\d{0,4})Frequency",Number,,,hertz,hertz,1,1,,N,"output,freq,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outFrequencyPhaseA,outXXXXFrequencyPhaseA,Output Frequency (Phase A),Output XX Frequency (Phase A),"out(\d{0,4})FrequencyPhaseA",Number,,,hertz,hertz,1,1,,A,"output,freq,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outFrequencyPhaseB,outXXXXFrequencyPhaseB,Output Frequency (Phase B),Output XX Frequency (Phase B),"out(\d{0,4})FrequencyPhaseB",Number,,,hertz,hertz,1,1,,B,"output,freq,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outFrequencyPhaseC,outXXXXFrequencyPhaseC,Output Frequency (Phase C),Output XX Frequency (Phase C),"out(\d{0,4})FrequencyPhaseC",Number,,,hertz,hertz,1,1,,C,"output,freq,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outLoad,outXXXXLoad,Output Load,Output XX Load,"out(\d{0,4})Load",Number,,,percent,percent,1,1,,N,"output,load,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outLoadPhaseA,outXXXXLoadPhaseA,Output Load Phase A,Output XX Load Phase A,"out(\d{0,4})LoadPhaseA",Number,,,percent,percent,1,1,,A,"output,load,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outLoadPhaseB,outXXXXLoadPhaseB,Output Load Phase B,Output XX Load Phase B,"out(\d{0,4})LoadPhaseB",Number,,,percent,percent,1,1,,B,"output,load,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outLoadPhaseC,outXXXXLoadPhaseC,Output Load Phase C,Output XX Load Phase C,"out(\d{0,4})LoadPhaseC",Number,,,percent,percent,1,1,,C,"output,load,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerApparent,outXXXXPowerApparent,Output Apparent Power,Output XX Apparent Power,"out(\d{0,4})PowerApparent",Number,,,kilovolt_ampere,kilovolt_ampere,1,1,,N,"output,power,apparent,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerApparentPhaseA,outXXXXPowerApparentPhaseA,Output Apparent Power (Phase A),Output XX Apparent Power (Phase A),"out(\d{0,4})PowerApparentPhaseA",Number,,,kilovolt_ampere,kilovolt_ampere,1,1,,A,"output,power,apparent,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerApparentPhaseB,outXXXXPowerApparentPhaseB,Output Apparent Power (Phase B),Output XX Apparent Power (Phase B),"out(\d{0,4})PowerApparentPhaseB",Number,,,kilovolt_ampere,kilovolt_ampere,1,1,,B,"output,power,apparent,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerApparentPhaseC,outXXXXPowerApparentPhaseC,Output Apparent Power (Phase C),Output XX Apparent Power (Phase C),"out(\d{0,4})PowerApparentPhaseC",Number,,,kilovolt_ampere,kilovolt_ampere,1,1,,C,"output,power,apparent,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerFactor,outXXXXPowerFactor,Output Power Factor,Output XX Power Factor,"out(\d{0,4})PowerFactor",Number,,,power_factor,power_factor,2,2,,N,"output,pf,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerFactorPhaseA,outXXXXPowerFactorPhaseA,Output Power Factor (Phase A),Output XX Power Factor (Phase A),"out(\d{0,4})PowerFactorPhaseA",Number,,,power_factor,power_factor,2,2,,A,"output,pf,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerFactorPhaseB,outXXXXPowerFactorPhaseB,Output Power Factor (Phase B),Output XX Power Factor (Phase B),"out(\d{0,4})PowerFactorPhaseB",Number,,,power_factor,power_factor,2,2,,B,"output,pf,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerFactorPhaseC,outXXXXPowerFactorPhaseC,Output Power Factor (Phase C),Output XX Power Factor (Phase C),"out(\d{0,4})PowerFactorPhaseC",Number,,,power_factor,power_factor,2,2,,C,"output,pf,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerReactive,outXXXXPowerReactive,Output Reactive Power,Output XX Reactive Power,"out(\d{0,4})PowerReactive",Number,,,kilovolt_ampere_reactive,kilovolt_ampere_reactive,1,1,,N,"output,power,reactive,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerReactivePhaseA,outXXXXPowerReactivePhaseA,Output Reactive Power (Phase A),Output XX Reactive Power (Phase A),"out(\d{0,4})PowerReactivePhaseA",Number,,,kilovolt_ampere_reactive,kilovolt_ampere_reactive,1,1,,A,"output,power,reactive,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerReactivePhaseB,outXXXXPowerReactivePhaseB,Output Reactive Power (Phase B),Output XX Reactive Power (Phase B),"out(\d{0,4})PowerReactivePhaseB",Number,,,kilovolt_ampere_reactive,kilovolt_ampere_reactive,1,1,,B,"output,power,reactive,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerReactivePhaseC,outXXXXPowerReactivePhaseC,Output Reactive Power (Phase C),Output XX Reactive Power (Phase C),"out(\d{0,4})PowerReactivePhaseC",Number,,,kilovolt_ampere_reactive,kilovolt_ampere_reactive,1,1,,C,"output,power,reactive,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerReal,outXXXXPowerReal,Output Real Power,Output XX Real Power,"out(\d{0,4})PowerReal",Number,,,kilowatt,kilowatt,1,1,,N,"output,power,real,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerRealPhaseA,outXXXXPowerRealPhaseA,Output Real Power (Phase A),Output XX Real Power (Phase A),"out(\d{0,4})PowerRealPhaseA",Number,,,kilowatt,kilowatt,1,1,,A,"output,power,real,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerRealPhaseB,outXXXXPowerRealPhaseB,Output Real Power (Phase B),Output XX Real Power (Phase B),"out(\d{0,4})PowerRealPhaseB",Number,,,kilowatt,kilowatt,1,1,,B,"output,power,real,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outPowerRealPhaseC,outXXXXPowerRealPhaseC,Output Real Power (Phase C),Output XX Real Power (Phase C),"out(\d{0,4})PowerRealPhaseC",Number,,,kilowatt,kilowatt,1,1,,C,"output,power,real,sensor","ATS,BRK,INV,PDU,PFC,RECT,RPP,STS,TVS,UPS"
outsideAirQuality,outsideAirQuality,Outside Air Quality,Outside Air Quality,outsideAirQuality,Number,,,parts_per_million,parts_per_million,0,0,,,"outside,air,quality,sensor","AHU,CRAC,CRAH,DHU,DOAS,WTHR"
outsideCO,outsideCO,Outside CO,Outside CO,outsideCO,Number,,,parts_per_million,parts_per_million,0,0,,,"outside,air,co,sensor","AHU,CRAC,CRAH,DHU,DOAS,WTHR"
outsideCO2,outsideCO2XXXX,Outside CO2,Outside CO2 XX,"outsideCO2(\d{0,4})",Number,,,parts_per_million,parts_per_million,0,0,,,"outside,air,co2,sensor","AHU,CRAC,CRAH,DHU,DOAS,GBL,HP,MAU,RTU,UV,WTHR,HP"
outsideDamper,outsideDamperXXXX,Outside Damper,Outside Damper XX,"outsideDamper(\d{0,4})",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"outside,air,damper,position,cmd","AHU,CRAC,CRAH,DHU,DOAS,ERU,HP,HRU,MAU,RTU,UV,HP"
outsideDamperAlarm,outsideDamperXXXXAlarm,Outside Damper Alarm,Outside Damper XX Alarm,"outsideDamper(\d{0,4})Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"outside,air,damper,alarm","AHU,CRAC,CRAH,DHU,DOAS,ERU,HP,HRU,MAU,RTU,UV,HP"
outsideDamperDirection,outsideDamperXXXXDirection,Outside Damper Direction,Outside Damper XXXX Direction,"outsideDamper(\d{0,4})Direction",Bool,CW/CCW,CW/CCW,,,,,,,,
outsideDamperFb,outsideDamperXXXXFb,Outside Damper Feedback,Outside Damper XX Feedback,"outsideDamper(\d{0,4})Fb",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"outside,air,damper,position,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperMaintSwitch,outsideDamperXXXXMaintSwitch,Outside Damper Maintenance Switch,Outside Damper XX Maintenance Switch,"outsideDamper(\d{0,4})MaintSwitch",Bool,On/Off,On/Off,,,,,,,"outside,air,damper,maintenance,switch,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperMaxSp,outsideDamperXXXXMaxSp,Outside Damper Max Reset Setpoint,Outside Damper XX Max Reset Setpoint,"outsideDamper(\d{0,4})MaxSp",Number,,,percent,percent,1,1,,,"outside,air,damper,position,max,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperMinMaxSp,outsideDamperXXXXMinMaxSp,Outside Damper Min Max Setpoint,Outside Damper XX Min Max Setpoint,"outsideDamper(\d{0,4})MinMaxSp",Number,,,percent,percent,1,1,,,"outside,air,damper,position,minMax,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperMinMinSp,outsideDamperXXXXMinMinSp,Outside Damper Min Min Setpoint,Outside Damper XX Min Min Setpoint,"outsideDamper(\d{0,4})MinMinSp",Number,,,percent,percent,1,1,,,"outside,air,damper,position,minMin,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperMinSp,outsideDamperXXXXMinSp,Outside Damper Min Reset Setpoint,Outside Damper XX Min Reset Setpoint,"outsideDamper(\d{0,4})MinSp",Number,,,percent,percent,1,1,,,"outside,air,damper,position,min,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperMinSpOvr,outsideDamperXXXXMinSpOvr,Outside Damper Min Reset Setpoint Override,Outside Damper XX Min Reset Setpoint Override,"outsideDamper(\d{0,4})MinSpOvr",Number,,,percent,percent,1,1,,,"outside,air,damper,position,min,spOvr","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperOccMinSp,outsideDamperXXXXOccMinSp,Outside Damper Occupied Min Reset Setpoint,Outside Damper XX Occupied Min Reset Setpoint,"outsideDamper(\d{0,4})OccMinSp",Number,,,percent,percent,1,1,,,,
outsideDamperOvr,outsideDamperXXXXOvr,Outside Damper Override,Outside Damper XX Override,"outsideDamper(\d{0,4})Ovr",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"outside,air,damper,position,ovr","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDamperSp,outsideDamperXXXXSp,Outside Damper Setpoint,Outside Damper XX Setpoint,"outsideDamper(\d{0,4})Sp",Number,,,percent,percent,1,1,,,"outside,air,damper,position,effective,sp","AHU,CRAC,CRAH,DHU,DOAS,HP,MAU,RTU,UV,HP"
outsideDewpoint,outsideDewpoint,Outside Dewpoint,Outside Dewpoint,outsideDewpoint,Number,,,fahrenheit,celsius,1,1,,,"outside,air,dewpoint,sensor","AHU,CRAC,CRAH,DHU,DOAS,GBL,HP,MAU,RTU,UV,WTHR,HP"
outsideEnthalpy,outsideEnthalpy,Outside Enthalpy,Outside Enthalpy,outsideEnthalpy,Number,,,btu_per_pound,kilojoules_per_kilogram,1,1,,,"outside,air,enthalpy,sensor","AHU,CRAC,CRAH,DHU,DOAS,GBL,HP,MAU,RTU,UV,WTHR,HP"
outsideFan,outsideFanXXXX,Outside Fan Command,Outside Fan XX Command,"outsideFan((?:(?!Ovr)\w){0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"outside,air,fan,status,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFan,outsideFanXXXX,Outside Fan Command,Outside Fan XX Command,"outsideFan((?:(?!Ovr)\w){0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"outside,air,fan,status,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanAlarm,outsideFanXXXXAlarm,Outside Fan Alarm,Outside Fan XX Alarm,"outsideFan(\w{0,4}(?=[A-Z]|$))Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"outside,air,fan,general,common,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanAlarm,outsideFanXXXXAlarm,Outside Fan Alarm,Outside Fan XX Alarm,"outsideFan(\w{0,4}(?=[A-Z]|$))Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"outside,air,fan,general,common,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanAlarmReset,outsideFanXXXXAlarmReset,Outside Fan Alarm Reset,Outside Fan XX Alarm Reset,"outsideFan(\w{0,4}(?=[A-Z]|$))AlarmReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"outside,air,fan,general,alarm,reset","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanBypass,outsideFanXXXXBypass,Outside Fan Bypass,Outside Fan XX Bypass,"outsideFan(\w{0,4}(?=[A-Z]|$))Bypass",Bool,Bypass/Normal,Bypass/Normal,,,,,,,"outside,air,fan,bypass,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanCurrent,outsideFanXXXXCurrent,Outside Fan Current,Outside Fan XX Current,"outsideFan(\w{0,4}(?=[A-Z]|$))Current",Number,,,ampere,ampere,1,1,,N,"outside,air,fan,current,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanCurrent,outsideFanXXXXCurrent,Outside Fan Current,Outside Fan XX Current,"outsideFan(\w{0,4}(?=[A-Z]|$))Current",Number,,,ampere,ampere,1,1,,N,"outside,air,fan,current,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanDCVoltage,outsideFanXXXXDCVoltage,Outside Fan DC Voltage,Outside Fan XX DC Voltage,"outsideFan(\w{0,4}(?=[A-Z]|$))DCVoltage",Number,,,volt,volt,1,1,,,"outside,air,fan,dcVolt,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanDirection,outsideFanXXXXDirection,Outside Fan Direction,Outside Fan XX Direction,"outsideFan(\w{0,4}(?=[A-Z]|$))Direction",Bool,Forward/Reverse,Forward/Reverse,,,,,,,"outside,air,fan,direction,cmd","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanDriveAlarm,outsideFanXXXXDriveAlarm,Outside Fan Drive Alarm,Outside Fan XX Drive Alarm,"outsideFan(\w{0,4}(?=[A-Z]|$))DriveAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"outside,air,fan,drive,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanDriveTemp,outsideFanXXXXDriveTemp,Outside Fan Drive Temperature,Outside Fan XX Drive Temperature,"outsideFan(\w{0,4}(?=[A-Z]|$))DriveTemp",Number,,,fahrenheit,celsius,1,1,,,"outside,air,fan,driveTemp,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanEnergy,outsideFanXXXXEnergy,Outside Fan Energy,Outside Fan XX Energy,"outsideFan(\w{0,4}(?=[A-Z]|$))Energy",Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"outside,air,fan,energy,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanEnteringPressure,outsideFanXXXXEnteringPressure,Outside Fan Entering Pressure,Outside Fan XX Entering Pressure,"outsideFan(\w{0,4}(?=[A-Z]|$))EnteringPressure",Number,,,inches_of_water,pascal,2,1,,,"outside,air,fan,entering,pressure,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanEnteringPressure,outsideFanXXXXEnteringPressure,Outside Fan Entering Pressure,Outside Fan XX Entering Pressure,"outsideFan(\w{0,4}(?=[A-Z]|$))EnteringPressure",Number,,,inches_of_water,pascal,2,1,,,"outside,air,fan,entering,pressure,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanFault,outsideFanXXXXFault,Outside Fan Fault,Outside Fan XX Fault,"outsideFan(\w{0,4}(?=[A-Z]|$))Fault",Bool,Fault/Normal,Fault/Normal,,,,,,,"outside,air,fan,fault","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanFault,outsideFanXXXXFault,Outside Fan Fault,Outside Fan XX Fault,"outsideFan(\w{0,4}(?=[A-Z]|$))Fault",Bool,Fault/Normal,Fault/Normal,,,,,,,"outside,air,fan,fault","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanFilterAlarm,outsideFanXXXXFilterAlarm,Outside Fan Filter Alarm,Outside Fan XX Filter Alarm,"outsideFan(\w{0,4}(?=[A-Z]|$))FilterAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"outside,air,fan,filter,common,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanFilterAlarm,outsideFanXXXXFilterAlarm,Outside Fan Filter Alarm,Outside Fan XX Filter Alarm,"outsideFan(\w{0,4}(?=[A-Z]|$))FilterAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"outside,air,fan,filter,common,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanFilterAlarmReset,outsideFanXXXXFilterAlarmReset,Outside Fan Filter Alarm Reset,Outside Fan XX Filter Alarm Reset,"outsideFan(\w{0,4}(?=[A-Z]|$))FilterAlarmReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"outside,air,fan,filter,reset,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanFilterAlarmReset,outsideFanXXXXFilterAlarmReset,Outside Fan Filter Alarm Reset,Outside Fan XX Filter Alarm Reset,"outsideFan(\w{0,4}(?=[A-Z]|$))FilterAlarmReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"outside,air,fan,filter,reset,alarm","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
outsideFanFilterPressureDelta,outsideFanXXXXFilterPressureDelta,Outside Fan Filter Pressure Delta,Outside Fan XX Filter Pressure Delta,"outsideFan(\w{0,4}(?=[A-Z]|$))FilterPressureDelta",Number,,,inches_of_water,pascal,2,1,,,"outside,air,fan,filter,pressure,delta,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP"
outsideFanFilterPressureDelta,outsideFanXXXXFilterPressureDelta,Outside Fan Filter Pressure Delta,Outside Fan XX Filter Pressure Delta,"outsideFan(\w{0,4}(?=[A-Z]|$))FilterPressureDelta",Number,,,inches_of_water,pascal,2,1,,,"outside,air,fan,filter,pressure,delta,sensor","AHU,CRAC,CRAH,DHU,DOAS,HP,OF,RTU,HP,ODU"
